Crimes,January,February,March,April,May,June,July,August,September,October,November,December
Qualified Trespass to Dwelling,0,0,0,0,0,0,0,0,0,0,0,0
Resisiting Authorities ,1,0,0,0,0,1,1,0,2,1,1,0
Simple Seduction,0,0,1,0,1,0,0,0,0,0,0,0
Slander (Oral Defamation),0,0,0,0,0,0,0,0,0,0,0,0
Swindling (Estafa),0,0,0,0,0,0,0,0,0,1,0,0
Unjust Vexations,0,0,0,0,0,0,0,1,0,0,0,0
Frust/Attemp Unjust Vexations,0,0,0,0,0,0,0,0,0,0,0,0
Using Forged Signature/Seal/Stamp,0,0,0,0,0,0,0,0,0,0,0,0
Usurpation of Authority/Functions,0,0,0,0,0,0,0,0,0,0,0,0
RIR Homicide,0,1,0,2,0,0,0,1,1,0,0,0
RIR Physical Injury,9,5,4,2,3,3,2,2,2,6,2,3
RIR Damage to Property,4,7,0,2,0,0,0,2,4,3,1,0
Anti-Child Abuse Law,2,2,2,2,1,1,1,0,2,1,2,3
Anti-Drunk & Drugged Driving Act 2013,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Electricity Pilferage Act 1994,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Gambling Law,1,0,1,0,0,0,0,1,1,1,1,0
Anti-Photo & Video Voyeurism Act 2009,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Rabies Act 2007,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Trafficking in Persons Act 2003,0,0,0,0,0,1,0,0,0,0,0,0
Anti-VAWC Act 2004,2,3,2,1,1,1,1,4,2,2,3,1
Bouncing Check Law,0,0,0,1,0,0,0,0,0,0,0,0
Chain Saw Act 2002,0,0,0,0,0,0,0,0,0,0,0,0
Cockfighting Law of 1974,0,0,0,0,0,0,0,0,0,0,0,0
Coconut Preservation Act 2002,0,0,0,0,0,0,0,0,0,0,0,0
Comp. Dangerous Drugs 2002 Importation,0,0,0,0,0,0,0,0,0,0,0,0
Comp. Dangerous Drugs Act 2002,5,2,3,1,2,2,1,3,2,1,2,1
Comprehensive FA Law,1,0,1,0,0,0,0,0,1,1,0,0
Illegal Logging,0,0,0,0,0,0,0,0,0,0,0,0
Illegal Numbers Game,0,0,0,0,0,0,0,0,0,0,0,0
Illegal Possession of Ammunitions & Explosives,0,0,0,0,0,0,0,0,0,0,0,0
Illegal Possession of Weapons,0,0,0,0,1,0,0,1,0,1,0,0
Illegal Practice of Medicine 1959,0,0,0,0,0,0,0,0,0,0,0,0
Illegal Recruitment,0,0,0,0,0,0,0,0,0,0,0,0
Intellectual Property Code Amendment,0,0,0,0,0,0,0,0,0,0,0,0
Law on Reporting Communicable Diseases RA 11332,0,0,0,0,0,0,0,0,0,0,0,0
Obstruction of Prosec. Criminals,0,0,0,0,0,0,0,0,0,0,0,0
Omnibus Election Code of the Philippines,0,0,1,0,0,0,0,0,0,0,0,0
Prohibited Acts on Petroleum,0,0,0,0,0,0,0,0,0,0,0,0
Sexual Harrasment Act 1995 ,0,0,0,0,0,0,0,0,0,0,0,0
Viol. Magna Carta for Diabled Persons,0,0,0,0,0,0,0,0,0,0,1,0
