Crimes,January,February,March,April,May,June,July,August,September,October,November,December
Resisiting Authorities ,1,0,6,9,6,2,1,3,0,0,0,0
Simple Seduction,0,0,0,0,0,0,0,0,0,0,0,0
Slander (Oral Defamation),0,0,0,0,0,0,0,0,0,0,0,0
Swindling (Estafa),0,0,0,1,0,0,1,0,0,1,0,1
Unjust Vexations,1,0,0,0,3,0,0,0,0,0,0,0
Frust/Attemp Unjust Vexations,0,0,0,0,0,0,0,0,0,0,0,0
Using Forged Signature/Seal/Stamp,0,0,0,0,0,0,0,0,0,0,0,0
Usurpation of Authority/Functions,0,0,0,1,0,0,0,0,0,0,0,0
RIR Homicide,2,2,0,1,0,1,0,1,1,2,1,0
RIR Physical Injury,2,2,3,0,2,2,0,9,3,6,10,11
RIR Damage to Property,0,1,2,0,2,3,0,7,8,2,11,6
Anti-Child Abuse Law,1,1,0,0,0,1,1,2,1,0,0,3
Anti-Drunk & Drugged Driving Act 2013,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Electricity Pilferage Act 1994,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Gambling Law,0,0,0,0,3,1,2,0,2,1,0,0
Anti-Photo & Video Voyeurism Act 2009,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Rabies Act 2007,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Trafficking in Persons Act 2003,1,0,0,0,0,0,0,0,0,0,0,0
Anti-VAWC Act 2004,0,1,1,0,0,0,1,2,2,0,0,1
Bouncing Check Law,0,0,0,0,0,6,0,0,0,1,0,0
Chain Saw Act 2002,0,0,0,0,0,0,0,0,0,0,0,0
Cockfighting Law of 1974,0,0,0,1,0,0,1,1,0,0,0,1
Coconut Preservation Act 2002,0,0,0,0,0,0,0,0,0,0,0,0
Comp. Dangerous Drugs 2002 Importation,0,0,0,0,0,0,0,0,0,0,1,0
Comp. Dangerous Drugs Act 2002,1,4,1,0,0,1,0,0,1,0,0,0
Comprehensive FA Law,0,0,0,0,0,1,0,1,0,1,0,1
Illegal Logging,0,0,0,0,0,0,0,0,0,0,0,0
Illegal Numbers Game,0,0,0,0,0,0,0,0,0,0,0,0
Illegal Possession of Ammunitions & Explosives,0,0,0,0,0,0,0,0,0,0,0,0
Illegal Possession of Weapons,1,0,0,0,0,0,0,0,1,0,0,0
Illegal Practice of Medicine 1959,0,0,0,0,0,0,0,0,0,0,0,0
Illegal Recruitment,0,0,0,0,0,0,0,0,0,0,0,0
Intellectual Property Code Amendment,0,0,0,0,0,1,0,0,0,0,0,0
Law on Reporting Communicable Diseases RA 11332,0,0,0,0,1,0,0,0,1,0,0,0
Obstruction of Prosec. Criminals,0,0,0,0,0,0,0,0,0,0,0,0
Omnibus Election Code of the Philippines,0,0,0,0,0,0,0,0,0,0,0,0
Prohibited Acts on Petroleum,0,0,0,0,0,0,0,0,0,0,0,0
Sexual Harrasment Act 1995 ,0,0,0,0,0,0,0,0,0,0,0,0
Viol. Magna Carta for Diabled Persons,0,0,0,0,0,0,0,0,0,0,0,0
